YEAR,MONTH,DAY_OF_MONTH,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR
2025,1,1,1/1/2025 0:00,AS,1095,14893,1489302,33192,SMF,"Sacramento, CA",CA,14747,1474703,30559,SEA,"Seattle, WA",WA
2025,1,1,1/1/2025 0:00,AS,1097,14747,1474703,30559,SEA,"Seattle, WA",WA,13891,1389101,32575,ONT,"Ontario, CA",CA
2025,1,1,1/1/2025 0:00,AS,1098,14747,1474703,30559,SEA,"Seattle, WA",WA,14679,1467903,33570,SAN,"San Diego, CA",CA
2025,1,1,1/1/2025 0:00,AS,1100,14057,1405702,34057,PDX,"Portland, OR",OR,14908,1490803,32575,SNA,"Santa Ana, CA",CA
2025,1,1,1/1/2025 0:00,AS,1100,14908,1490803,32575,SNA,"Santa Ana, CA",CA,14057,1405702,34057,PDX,"Portland, OR",OR
2025,1,1,1/1/2025 0:00,AS,1103,14679,1467903,33570,SAN,"San Diego, CA",CA,14057,1405702,34057,PDX,"Portland, OR",OR
2025,1,1,1/1/2025 0:00,AS,1104,14747,1474703,30559,SEA,"Seattle, WA",WA,14908,1490803,32575,SNA,"Santa Ana, CA",CA
2025,1,1,1/1/2025 0:00,AS,1106,14747,1474703,30559,SEA,"Seattle, WA",WA,14831,1483106,32457,SJC,"San Jose, CA",CA
2025,1,1,1/1/2025 0:00,AS,1108,14747,1474703,30559,SEA,"Seattle, WA",WA,14679,1467903,33570,SAN,"San Diego, CA",CA
2025,1,1,1/1/2025 0:00,AS,111,11630,1163003,31517,FAI,"Fairbanks, AK",AK,14747,1474703,30559,SEA,"Seattle, WA",WA
2025,1,1,1/1/2025 0:00,AS,1111,12892,1289208,32575,LAX,"Los Angeles, CA",CA,14057,1405702,34057,PDX,"Portland, OR",OR
2025,1,1,1/1/2025 0:00,AS,1112,14057,1405702,34057,PDX,"Portland, OR",OR,14908,1490803,32575,SNA,"Santa Ana, CA",CA
2025,1,1,1/1/2025 0:00,AS,1115,14831,1483106,32457,SJC,"San Jose, CA",CA,14747,1474703,30559,SEA,"Seattle, WA",WA
2025,1,1,1/1/2025 0:00,AS,1117,14908,1490803,32575,SNA,"Santa Ana, CA",CA,14747,1474703,30559,SEA,"Seattle, WA",WA
